C388_threshold,equivalent_cutoff_lower_exclusive,equivalent_cutoff_upper_inclusive,n_work,n_nonwork,model,validation,objective,AUC,majority_accuracy,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
0.35000000000000003,0.348885,0.37332,24,7,CP3_LR,LOCO,accuracy,0.6964285714285714,0.7741935483870968,0.4530270086910866,0.8387096774193549,0.7946428571428572,21.0,5.0,2.0,3.0,0.046972991308913414
0.35000000000000003,0.348885,0.37332,24,7,CP3_LR,LOCO,balanced_accuracy,0.6964285714285714,0.7741935483870968,0.4530270086910866,0.8387096774193549,0.7946428571428572,21.0,5.0,2.0,3.0,0.046972991308913414
0.35000000000000003,0.348885,0.37332,24,7,CP3_LR,mutation_group_out,accuracy,0.6904761904761905,0.7741935483870968,0.4625136964862562,0.8064516129032258,0.7232142857142857,21.0,4.0,3.0,3.0,0.037486303513743824
0.35000000000000003,0.348885,0.37332,24,7,CP3_LR,mutation_group_out,balanced_accuracy,0.6904761904761905,0.7741935483870968,0.49454798293723334,0.7419354838709677,0.7321428571428572,18.0,5.0,2.0,6.0,0.005452017062766656
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_LR,LOCO,accuracy,0.7678571428571428,0.7741935483870968,0.3193294656019414,0.8387096774193549,0.6428571428571428,24.0,2.0,5.0,0.0,0.18067053439805858
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_LR,LOCO,balanced_accuracy,0.7678571428571428,0.7741935483870968,0.5904508098740389,0.6129032258064516,0.75,12.0,7.0,0.0,12.0,0.09045080987403886
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_LR,mutation_group_out,accuracy,0.7678571428571428,0.7741935483870968,0.21350347774255096,0.8064516129032258,0.5714285714285714,24.0,1.0,6.0,0.0,0.28649652225744904
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_LR,mutation_group_out,balanced_accuracy,0.7678571428571428,0.7741935483870968,0.5403771975319909,0.7096774193548387,0.8125,15.0,7.0,0.0,9.0,0.04037719753199087
0.35000000000000003,0.348885,0.37332,24,7,CP3_RF,LOCO,accuracy,0.6071428571428572,0.7741935483870968,0.6008266412871966,0.8064516129032258,0.7738095238095238,20.0,5.0,2.0,4.0,0.10082664128719665
0.35000000000000003,0.348885,0.37332,24,7,CP3_RF,LOCO,balanced_accuracy,0.6071428571428572,0.7741935483870968,0.6008266412871966,0.8064516129032258,0.7738095238095238,20.0,5.0,2.0,4.0,0.10082664128719665
0.35000000000000003,0.348885,0.37332,24,7,CP3_RF,mutation_group_out,accuracy,0.6696428571428572,0.7741935483870968,0.4821222154003242,0.7741935483870968,0.7023809523809523,20.0,4.0,3.0,4.0,0.017877784599675817
0.35000000000000003,0.348885,0.37332,24,7,CP3_RF,mutation_group_out,balanced_accuracy,0.6696428571428572,0.7741935483870968,0.5440708091915756,0.7419354838709677,0.7321428571428572,18.0,5.0,2.0,6.0,0.04407080919157558
0.35000000000000003,0.348885,0.37332,24,7,CP_Structure9_RF,LOCO,accuracy,0.6488095238095238,0.7741935483870968,0.43245303350646125,0.8387096774193549,0.6428571428571428,24.0,2.0,5.0,0.0,0.06754696649353875
