site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C871,-10,Position_group_out,Total_CP,GaussianNB,training_only_threshold,22,22,0.47619047619047616,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.2857142857142857,10.0,2.0,5.0,5.0,0.26666666666666666,0.6067044548159098
C871,-10,Position_group_out,Total_CP,LDA_shrinkage,fixed_0.5,22,22,0.5476190476190476,0.5909090909090909,0.7142857142857143,0.6666666666666666,0.42857142857142855,10.0,3.0,4.0,5.0,0.5714285714285714,0.7111265423030128
C871,-10,Position_group_out,Total_CP,LDA_shrinkage,training_only_threshold,22,22,0.6190476190476191,0.6363636363636364,0.7692307692307693,0.6666666666666666,0.5714285714285714,10.0,4.0,3.0,5.0,0.5714285714285714,0.7111265423030128
C871,-10,Position_group_out,Total_CP,LR_0.01,fixed_0.5,22,22,0.5476190476190476,0.5909090909090909,0.7142857142857143,0.6666666666666666,0.42857142857142855,10.0,3.0,4.0,5.0,0.5904761904761905,0.749308360484831
C871,-10,Position_group_out,Total_CP,LR_0.01,training_only_threshold,22,22,0.6190476190476191,0.6363636363636364,0.7692307692307693,0.6666666666666666,0.5714285714285714,10.0,4.0,3.0,5.0,0.5904761904761905,0.749308360484831
C871,-10,Position_group_out,Total_CP,LR_0.1,fixed_0.5,22,22,0.5476190476190476,0.5909090909090909,0.7142857142857143,0.6666666666666666,0.42857142857142855,10.0,3.0,4.0,5.0,0.5904761904761905,0.749308360484831
C871,-10,Position_group_out,Total_CP,LR_0.1,training_only_threshold,22,22,0.6190476190476191,0.6363636363636364,0.7692307692307693,0.6666666666666666,0.5714285714285714,10.0,4.0,3.0,5.0,0.5904761904761905,0.749308360484831
C871,-10,Position_group_out,Total_CP,LR_1,fixed_0.5,22,22,0.5476190476190476,0.5909090909090909,0.7142857142857143,0.6666666666666666,0.42857142857142855,10.0,3.0,4.0,5.0,0.5904761904761905,0.749308360484831
C871,-10,Position_group_out,Total_CP,LR_1,training_only_threshold,22,22,0.6190476190476191,0.6363636363636364,0.7692307692307693,0.6666666666666666,0.5714285714285714,10.0,4.0,3.0,5.0,0.5904761904761905,0.749308360484831
C871,-10,Position_group_out,Total_CP,RF_depth1,fixed_0.5,22,22,0.5809523809523809,0.6363636363636364,0.7333333333333333,0.7333333333333333,0.42857142857142855,11.0,3.0,4.0,4.0,0.5428571428571429,0.687049247049247
